"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","39","0","0","6","0","4","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","40","0","0","42","2","21","0","12","0","17","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","105","13","2","63","2","73","1","39","0","33","1","3","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2歳","0","46","4","17","48","0","27","1","7","0","26","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","22","2","21","47","4","14","1","1","0","16","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","2","7","1","21","50","5","12","0","2","0","16","9","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"5歳","0","5","6","26","39","6","14","3","0","0","6","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","0","2","20","36","5","3","0","0","0","2","18","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","1","8","27","4","3","0","0","0","0","14","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","8","21","2","1","0","0","0","1","9","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","1","0","0","6","28","3","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","5","0","0","10","53","1","2","1","0","0","0","11","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","4","12","0","0","0","0","0","1","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","0","0","4","49","0","1","1","0","1","1","3","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","19","264","30","147","521","34","176","8","62","1","120","103","6","4","0","13","1","2","12","0","0","0","0","0","0","0","0","0","0"
