"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","9","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0"
"〜1歳","0","5","2","0","47","0","6","0","40","0","27","1","3","0","0","0","0","0","0","0"
"1歳","0","10","8","1","78","11","34","2","41","1","47","3","7","0","0","1","0","0","1","0"
"2歳","0","6","12","9","40","11","24","1","9","0","36","6","1","0","0","1","0","0","2","0"
"3歳","0","2","12","8","30","4","17","3","1","0","26","16","0","0","0","1","0","0","2","0"
"4歳","0","2","12","11","30","1","8","3","1","0","17","19","0","0","0","0","0","0","0","0"
"5歳","0","0","10","6","33","3","11","3","1","0","6","8","1","0","0","1","0","0","0","0"
"6歳","0","0","8","11","20","2","3","1","0","1","12","6","1","0","0","0","1","0","0","0"
"7歳","0","0","3","11","14","0","5","0","0","0","7","5","0","0","0","2","0","0","2","0"
"8歳","0","0","2","5","12","0","1","0","0","0","2","6","1","0","0","0","0","0","2","0"
"9歳","0","0","2","1","11","0","2","0","0","0","1","3","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","4","7","43","0","3","0","0","0","9","10","0","0","0","0","0","0","2","0"
"15〜19歳","0","0","0","2","9","0","0","0","0","0","0","4","0","1","1","0","0","0","0","0"
"20〜29歳","0","0","1","11","50","0","1","0","0","1","3","3","0","0","0","1","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2","25","76","83","426","32","115","13","94","4","196","90","14","1","1","13","2","0","11","0"
