"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","6","4","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","39","5","1","1","40","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0"
"1歳","0","0","1","3","72","23","2","2","18","0","0","4","0","1","2","0","0","0","0","0","0","0","0","0"
"2歳","0","0","5","3","73","15","5","2","1","0","0","3","0","4","1","0","0","0","0","0","0","0","0","0"
"3歳","0","0","5","8","49","15","4","2","0","0","0","2","0","3","2","0","0","0","0","0","0","1","0","0"
"4歳","0","0","4","15","64","25","4","7","0","0","1","2","0","5","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","2","10","62","9","3","11","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","1","14","52","5","2","5","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0"
"7歳","0","0","0","5","32","4","1","2","0","0","1","0","0","2","1","0","0","0","0","0","0","1","0","0"
"8歳","0","0","1","12","18","3","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"9歳","0","0","1","7","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","4","35","2","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"15〜19歳","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","2","8","88","0","2","3","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","3","0","22","90","613","110","25","37","63","0","3","16","3","20","9","0","0","16","0","0","1","4","0","0"
