"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","1","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","3","0","8","12","0","34","0","0","8","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","3","13","0","9","6","1","31","1","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","1","6","2","16","17","2","36","0","4","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","1","2","3","2","0","42","0","1","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","7","2","1","21","1","62","0","2","20","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","1","3","1","0","6","0","22","0","1","8","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","18","0","12","30","5","77","2","0","18","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","1","4","2","5","10","1","61","0","0","15","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","10","0","6","11","2","54","3","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","1","14","2","16","51","5","148","5","0","28","2","2","0","0","2","0","0","0","0","0","0","","","","","",""
"世田谷","3","11","6","15","34","5","117","4","6","33","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","1","1","3","12","0","37","0","1","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","0","2","0","5","11","2","89","2","4","13","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","2","6","1","9","24","2","100","0","2","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","8","0","1","2","1","18","0","0","6","0","0","0","0","1","0","0","1","0","0","0","","","","","",""
"北区","0","0","1","3","16","0","73","0","6","13","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","1","6","2","4","11","3","65","1","1","20","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"板橋区","2","3","0","2","10","2","67","2","2","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","0","15","6","10","21","10","104","2","2","42","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","0","12","0","20","40","1","117","1","4","37","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","0","5","2","2","29","0","47","4","0","11","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","3","7","2","19","31","1","42","2","4","26","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","12","4","24","41","6","165","0","1","79","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","1","1","2","20","30","1","107","0","1","32","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","2","1","3","13","1","90","0","1","13","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","2","4","6","18","2","109","2","1","28","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","5","0","5","29","4","218","2","6","39","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","0","7","6","20","39","4","242","4","3","68","1","6","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩小平","0","23","13","14","18","15","261","1","6","43","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","19","208","62","261","595","77","2647","38","60","644","9","23","0","0","8","0","0","1","0","0","0","","","","","",""
