"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","0","4","30","0","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","2","0","1","13","14","1","1","3","0","0","0","0","0","0","0","0","0","2","0","0","0","","","","","",""
"新宿区","4","4","1","11","24","0","2","1","1","0","0","0","3","0","0","0","0","1","0","0","0","","","","","",""
"文京","0","0","0","12","14","0","5","1","2","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","0","6","14","44","0","2","2","1","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","2","0","2","12","0","7","1","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"江東区","3","0","1","19","101","3","7","11","2","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","1","0","1","2","43","4","2","8","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","6","26","0","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"大田区","7","3","8","16","70","1","10","2","4","1","0","2","0","0","3","0","0","0","0","0","0","","","","","",""
"世田谷","14","0","3","19","53","3","18","11","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","0","0","4","11","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","15","2","2","17","32","1","11","3","2","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"杉並","0","1","0","9","28","3","7","7","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","1","2","10","0","1","2","0","3","0","0","0","0","2","0","0","1","0","0","0","","","","","",""
"北区","7","0","0","5","20","1","1","6","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","3","1","6","20","22","0","7","1","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","1","0","1","2","24","1","5","8","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","6","2","2","27","70","2","9","3","5","1","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","1","3","2","9","54","1","9","4","4","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","7","0","1","19","31","1","7","4","1","3","1","1","0","0","0","0","0","1","0","0","0","","","","","",""
"江戸川","1","1","5","19","68","2","7","10","6","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","5","4","25","54","4","2","31","6","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","1","0","0","12","42","8","4","6","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","5","0","0","11","6","1","0","12","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","0","0","13","22","4","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","10","0","0","22","19","2","14","6","2","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","6","2","11","46","68","9","5","20","8","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","6","6","4","43","67","5","14","19","7","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","107","32","60","424","1080","57","169","194","73","12","10","12","4","0","9","0","0","6","0","0","0","","","","","",""
